,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.021718978881835938,1.0,0.0,q0: start,"(6, 1, 1)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.011250972747802734,1.0,0.0,q0: start,"(6, 1, 1)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.0861968994140625,1.0,0.0,q0: start,"(6, 1, 6)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.05935215950012207,1.0,0.0,q0: start,"(6, 1, 6)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,1.0177290439605713,1.0,1.0,q0: start,"(6, 1, 9)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.06257987022399902,1.0,1.0,q0: start,"(6, 1, 9)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.9710369110107422,1.0,1.0,q0: start,"(6, 1, 7)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.007310152053833008,1.0,1.0,q0: start,"(6, 1, 7)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.08152580261230469,1.0,0.0,q0: start,"(6, 1, 5)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.006803989410400391,1.0,0.0,q0: start,"(6, 1, 5)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.8450438976287842,1.0,1.0,q0: start,"(6, 1, 12)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.009495019912719727,1.0,1.0,q0: start,"(6, 1, 12)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.8344581127166748,1.0,1.0,q0: start,"(6, 1, 8)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.009093999862670898,1.0,1.0,q0: start,"(6, 1, 8)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,2.5182008743286133,1.0,0.0,q0: start,"(6, 1, 11)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.00427699089050293,1.0,0.0,q0: start,"(6, 1, 11)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,1.1806941032409668,1.0,1.0,q0: start,"(6, 1, 11)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.005935192108154297,1.0,1.0,q0: start,"(6, 1, 11)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.05924820899963379,0.9999999999999999,0.0,q0: start,"(7, 1, 5)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.004723072052001953,1.0,0.0,q0: start,"(7, 1, 5)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.0781090259552002,0.9999999999999999,0.0,q0: start,"(7, 1, 1)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.005792856216430664,1.0,0.0,q0: start,"(7, 1, 1)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.08650898933410645,0.9999999999999999,0.0,q0: start,"(7, 1, 4)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.005766153335571289,1.0,0.0,q0: start,"(7, 1, 4)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.0863652229309082,0.9999999999999999,0.0,q0: start,"(7, 1, 2)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.005609035491943359,1.0,0.0,q0: start,"(7, 1, 2)",positive,3600,2
