,model,query,nesting,value,model_checking_time,model_construction_time,name,timeout
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_0_7_7', 'companystartprofile_0_7_7', 'select_context_user_collection', 'companyselect_context_user_collection', 'played_10_major_0_7_7', 'companyplayed_10_major_0_7_7', 'skipped', 'companyskipped']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=19 & (X( loc=65 ))))))))]",3,0.013043106747711008,16.913,12.969,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=44 & ((X( loc=90 & ((X( loc=96 & ((X( loc=100 & (X( loc=1477 )))))))))))))))))]",6,1.2712579676131587E-5,16.661,13.189,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=20 )))))]",2,0.019438685961796605,16.611,13.099,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1209)]",0,0.006974893298277189,17.499,12.667,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=864)]",0,0.0068428811813587035,16.585,13.57,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=45 & ((X( loc=91 & (X( loc=94 )))))))))))]",4,0.006453200203971657,16.541,14.086,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=40 & ((X( loc=86 & ((X( loc=94 & ((X( loc=98 & (X( loc=632 )))))))))))))))))]",6,1.807008071885281E-5,18.051,12.491,random_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=54] ,0,0.01,0.078,9.57,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=24 & ((X( loc=70 & ((X( loc=94 & ((X( loc=98 & ((X( loc=1352 & (X( loc=1359 ))))))))))))))))))))]",7,1.842246715778391E-5,16.957,11.931,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=10 & ((X( loc=56 & ((X( loc=96 & (X( loc=100 ))))))))))))))]",5,0.0,0.298,12.544,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=15 & ((X( loc=61 & ((X( loc=97 & ((X( loc=101 & ((X( loc=1121 & (X( loc=1133 ))))))))))))))))))))]",7,0.0,0.574,12.602,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=41 & ((X( loc=87 & ((X( loc=95 & ((X( loc=99 & ((X( loc=930 & (X( loc=947 ))))))))))))))))))))]",7,0.006396808574473895,17.77,12.49,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=6 & ((X( loc=52 & ((X( loc=94 & ((X( loc=98 & (X( loc=155 )))))))))))))))))]",6,0.0,0.438,12.836,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=21 & ((X( loc=67 & (X( loc=94 )))))))))))]",4,0.0,0.335,13.787,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=15 & ((X( loc=61 & ((X( loc=97 & ((X( loc=101 & ((X( loc=727 & ((X( loc=747 & (X( loc=280 )))))))))))))))))))))))]",8,0.0,0.805,12.663,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=18 & ((X( loc=64 & ((X( loc=94 & ((X( loc=98 & ((X( loc=164 & ((X( loc=253 & (X( loc=281 )))))))))))))))))))))))]",8,0.0,0.782,12.809,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=19 & ((X( loc=65 & ((X( loc=95 & ((X( loc=99 & ((X( loc=866 & (X( loc=879 ))))))))))))))))))))]",7,0.006521553373855504,17.419,14.27,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=9 & ((X( loc=55 & ((X( loc=96 & ((X( loc=100 & ((X( loc=146 & ((X( loc=235 & ((X( loc=280 & (X( loc=282 ))))))))))))))))))))))))))]",9,0.0,0.951,12.961,actual_path,600
