,model,query,nesting,value,model_parsing_time,model_checking_time,model_construction_time,name,timeout,solver
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=433)]",0,0.02012986937,0.099,0.026,0.21,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1222)]",0,0.006693555618,0.102,0.024,0.207,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=760)]",0,0.494230512,0.167,0.024,0.246,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=398)]",0,0.006693555618,0.169,0.025,0.223,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1324)]",0,0.006843043516,0.097,0.034,0.317,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1549)]",0,0.5038685324,0.095,0.026,0.205,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=22)]",0,0.01304360126,0.099,0.023,0.209,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=337)]",0,0.02642448944,0.1,0.031,0.333,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=577)]",0,0.006975058443,0.096,0.037,0.289,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=633)]",0,0.02681295365,0.1,0.026,0.208,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1307)]",0,0.006975058443,0.094,0.028,0.207,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=868)]",0,0.006693555618,0.097,0.034,0.341,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1129)]",0,0.5038685324,0.102,0.027,0.214,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=552)]",0,0.494230512,0.162,0.025,0.287,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=490)]",0,0.5667797948,0.133,0.024,0.295,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=551)]",0,0.05162215172,0.096,0.026,0.205,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=66)]",0,0.01943943284,0.1,0.024,0.216,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=492)]",0,0.6028268191,0.101,0.024,0.221,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=218)]",0,0.5038685324,0.173,0.025,0.236,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1167)]",0,0.01381034581,0.096,0.026,0.205,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1156)]",0,0.01381034581,0.095,0.026,0.209,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=990)]",0,0.5733600161,0.096,0.025,0.203,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1154)]",0,0.5623927595,0.098,0.026,0.208,avoid_state,3600,storm
